Aircraft,Photo,Origin,Company,Type,Versions,In Service,Manned,BVR kill chain,Associated products
F-22 Raptor,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Lockheed_Martin_F-22A_Raptor_JSOH.jpg/1280px-Lockheed_Martin_F-22A_Raptor_JSOH.jpg,United States,Lockheed Martin,Air Superiority Fighter,F-22A,183,Yes,"Stealth-dominant platform with supercruise, AN/APG-77 AESA radar, and internal AIM-120D/AIM-260 bays for 6+ BVR shots; enables cooperative engagement via Link-16; production capped at 195 total, with focus on upgrades for 2040s sustainment. AN/APG-77 Find/Fix supercruise; Tracks datalink; Targets AIM-260; Engage first-look; Assess stealth.","AN/APG-77(V)1 AESA radar, AIM-260 JATM, F119 engine"
F-35 Lightning II,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/First_F-35_headed_for_USAF_service.jpg/1280px-First_F-35_headed_for_USAF_service.jpg,United States,Lockheed Martin,Multirole Stealth Fighter,F-35A/B/C,950,Yes,"CTOL/STOVL/Carrier variants with AN/APG-81 AESA, sensor fusion, and 4-6 internal BVR missiles; excels in distributed aperture targeting and MADL datalink for beyond-line-of-sight kills; rapid IOC expansion to 30+ squadrons by 2025. AN/APG-77(V)1 fusion Find; Tracks network; Targets AIM-120/260; Engage 5th gen; Assess sensor fusion.","AN/APG-77(V)1 AESA radar, AIM-260 JATM, F135 engine, EOTS-3 targeting"
F-15EX Eagle II,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/F-15EX_Eagle_II.jpg/1280px-F-15EX_Eagle_II.jpg,United States,Boeing,Multirole Air Superiority Fighter,F-15EX,48,Yes,"New-build 4.5-gen with AN/APG-82(V)1 AESA, fly-by-wire, and 12+ external BVR missiles; bridges F-22/F-35 gap for high-volume fire; scaling to 129 total by 2030. AN/APG-82 Find/Fix large radar volume; Tracks multiple; Targets via EPAWSS EW; Engage AIM-120D-3; Assess datalink feedback.","AIM-120D-3 AMRAAM, AN/APG-82(V)1 AESA, EPAWSS EW system"
F-15E Strike Eagle,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Green_Flag_West_11-08.jpg/960px-Green_Flag_West_11-08.jpg,United States,McDonnell Douglas,Multirole Strike Fighter,F-15E,218,Yes,"Dual-role backbone with APG-70/82 AESA, up to 8 AIM-120 AMRAAM, and EPAWSS EW for air superiority in contested strikes; 100+ legacy kills. AN/APG-70 Find/Fix; Tracks multitarget; Targets AIM-120; Engage fire-forget; Assess datalink.","AN/APG-82(V)1 AESA, AIM-120D AMRAAM, F100 engine"
F/A-18E/F Super Hornet,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/United_States_F-A-18_Super_Hornets_and_Greek_F-16_Fighting_Falcons_conduct_air-to-air_training_over_the_Ionian_Sea_as_a_part_of_Neptune_Strike_2022_%287034795%29.jpg/1280px-thumbnail.jpg,United States,Boeing,Carrier-Based Multirole Fighter,"F/A-18E, F/A-18F",421,Yes,"Block III upgrades include AN/APG-79 AESA, IRST, and 10+ AIM-120 loads; vital for carrier BVR until F-35C maturity; fleet hit 12 M flight hours in 2025, with SLM extending life to 10,000 hours. AN/APG-79(V)4 Find/Fix; Tracks AMRAAM; Targets EW protected; Engage BVR; Assess V4 upgrade.","AN/APG-79(V)4 AESA, AIM-120D-3 AMRAAM, AN/ALR-94 EW suite"
EA-18G Growler,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/EA-18G_at_Whidbey_April_2007.jpg/1280px-EA-18G_at_Whidbey_April_2007.jpg,United States,Boeing,Carrier-Based Electronic Warfare Aircraft,EA-18G,160,Yes,"ALQ-218/249 jammers suppress enemy radars for BVR “permission to shoot”; integrates with F-35/F/A-18 via Link-16; full-rate production complete, supporting all 11 carrier air wings; fleet surpasses 12 M flight hours. EW for Track protection; Fixes threats passively; Targets jamming; Engage supported; Assess F-22.","AN/APG-79(V)4 AESA, ALQ-218/249 jammers, Link-16"
F-16 Fighting Falcon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/F-16_June_2008.jpg/1280px-F-16_June_2008.jpg,United States,Lockheed Martin,Multirole Fighter,"F-16C, F-16D",762,Yes,"Block 50/52+ with AN/APG-83 AESA, Sniper pod, and 6 AIM-120 pylons; cost-effective BVR filler during F-35 ramp-up; ~900 total but 762 combat-coded in 2025, with ongoing retirements and upgrades. AN/APG-83 Find/Fix; Tracks integrated; Targets AIM-120; Engage from pylons; Assess lightweight ops.","AN/APG-83 AESA, AIM-120D AMRAAM, Sniper pod"
E-3 Sentry,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/E-3_Sentry_Airborne_Warning_and_Control_System_%28AWACS%29_conducts_a_mission.jpg/960px-E-3_Sentry_Airborne_Warning_and_Control_System_%28AWACS%29_conducts_a_mission.jpg,United States,Boeing,Airborne Early Warning & Control,E-3G,31,Yes,"Rotodome-mounted AN/APY-2 radar for 360° surveillance out to 250+ nm, directing BVR intercepts and battle management via Link-16; 16-19 crew; Block 40/45 upgrades sustain fleet until E-7 transition in 2030s; 15 retirements planned. AN/APY-2 for Find/Fix distant; Tracks from AWACS; Targets selection networked; Engage directed; Assess battle management.","AN/APY-2 radar, Link-16, TF33 engines"
MQ-20 Avenger,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/A_Predator_C_Avenger_unmanned_aircraft_system_and_inert_ordnance_sit_on_display_on_a_tarmac_at_Palmdale%2C_Calif.%2C_Aug._8%2C_2012_120808-N-WL435-054.jpg/960px-A_Predator_C_Avenger_unmanned_aircraft_system_and_inert_ordnance_sit_on_display_on_a_tarmac_at_Palmdale%2C_Calif.%2C_Aug._8%2C_2012_120808-N-WL435-054.jpg,United States,General Atomics Aeronautical,Unmanned Combat Aircraft,MQ-20 Avenger CCA,0,No,AESA nose for Find/Fix distant targets; Datalink Track from AWACS; Target selection networked; Engage AIM-120D-3 internally; Assess battle damage.,"AIM-120D-3 AMRAAM, F-15EX Eagle II, AN/APG-82(V)1 AESA"
MQ-1 Predator,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/MQ-1_Predator.jpg/960px-MQ-1_Predator.jpg,United States,General Atomics Aeronautical,Collaborative Combat Aircraft,Gambit CCA-A,0,No,Variant A focuses on Find via low-cost sensors; Tracks in formation; Targets for suppression; Engage small BVR weapons; Assess attritable loss.,"XQ-58A Valkyrie CCA, AIM-120D AMRAAM, EPAWSS EW system"
XQ-58A Valkyrie,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/U.S._Marine_Corps_XQ-58A_Valkyrie.jpg/960px-U.S._Marine_Corps_XQ-58A_Valkyrie.jpg,United States,Kratos Defense & Security,Low-Cost Attritable Collaborative Combat Aircraft,XQ-58A,0,No,Low-cost attritable for Find in contested space; Tracks via datalink; Targets as decoy/launcher; Engage AIM-120D-3; Assess disposable.,"AIM-120D-3 AMRAAM, F-22 Raptor, AN/APG-77(V)1"
YFQ-44A Fury,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/YFQ-44_ground_test.jpg/960px-YFQ-44_ground_test.jpg,United States,Anduril Industries,Autonomous Air Vehicle / CCA,YFQ-44A,0,No,Find/Fix/Track via onboard AESA and networked datalinks from F-35; Target high-value threats; Engage with internal AIM-120D-3; Assess via swarm coordination.,"F-35 Lightning II, AIM-120D-3 AMRAAM, AN/APG-85 AESA"
Altius-600M loyal-wingman,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/1200x600-UAS.jpg/960px-1200x600-UAS.jpg,United States,Anduril Industries,Loyal Wingman,Altius-600M,0,No,Loyal wingman extends sensor fusion for Find/Fix; Tracks via AI relay; Targets as missile truck; Engages with AIM-260; Assesses returns to base.,"AIM-260 JATM, F-22 Raptor, AN/APG-77(V)1 AESA radar"
Roadrunner-M supersonic,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Anduril_Roadrunner_at_IDEX_2025.jpg/960px-Anduril_Roadrunner_at_IDEX_2025.jpg,United States,Anduril Industries,Collaborative Combat Aircraft,Roadrunner-M,0,No,Supersonic dash for rapid Track/Fix; AI autonomous targeting; Engage/return with rotary bay BVR missiles; Assess via recoverable design.,"AIM-120D-3 AMRAAM, MQ-20 Avenger CCA, AN/ALR-94 EW suite"
